"INGREDIENTECOMPOSTO","INGREDIENTEORIGINAL"
"Vegetable Broth","Garden onion"
"Vegetable Broth","Mushrooms"
"Vegetable Broth","Shallot"
"Vegetable Broth","Wild celery"
"Vegetable Stock","Carrot"
"Vegetable Stock","Common thyme"
"Vegetable Stock","Garden onion"
"Vegetable Stock","Garden tomato"
"Vegetable Stock","Garlic"
"Vegetable Stock","Pepper"
"Vegetable Stock","Sweet bay"
"Vegetable Stock","Wild celery"
"Vermicelli","Flour"
"Vermicelli","Salt"
"Vermicelli","Water"
"Vermicelli","Wheat"
"Worcestershite Sauce","Cinnamon"
"Worcestershite Sauce","Garden onion"
"Worcestershite Sauce","Garlic"
"Worcestershite Sauce","Ginger"
"Worcestershite Sauce","Pepper (Spice)"
"Worcestershite Sauce","Soy sauce"
"Worcestershite Sauce","Sugar"
"Worcestershite Sauce","Vinegar"
"Worcestershite Sauce","Water"
"Worcestershite Sauce","White mustard"
